Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0202554,BLUE LAKES C.G. - LOWER,NC,NR,There are no treatment plants,ALPINE  ,GW
CA0202556,BLUE LAKES C.G. - UPPER,NC,NR,Operator is not required,ALPINE  ,GW
CA0202557,BLUE LAKES C.G. HAND PUMP,NC,NR,There are no treatment plants,ALPINE  ,GW
CA0202562,SAND FLAT # 1,NC,NR,There are no treatment plants,ALPINE  ,GW
CA0202564,SAND FLAT # 3,NC,NR,There are no treatment plants,ALPINE  ,GW
CA0202565,SAND FLAT # 4,NC,NR,There are no treatment plants,ALPINE  ,GW
CA0202566,SAND FLAT # 5,NC,NR,There are no treatment plants,ALPINE  ,GW
CA0202570,KIRKWOOD SUNRISE GRILL,NC,NR,There are no treatment plants,ALPINE  ,GW
CA0202599,EARLY LEARNING CENTER,NTNC,D1,There are no treatment plants,ALPINE  ,GW
CA0205425,ALPINE CO COMMUNITY DEVELOPMENT,NTNC,D1,There are no treatment plants,ALPINE  ,GW
CA0210001,LAKE ALPINE WATER COMPANY,C,D2,T2,ALPINE  ,SW
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,C,D2,T1,ALPINE  ,GW
CA0210300,CA STATE PARKS - GROVER HOT SPRINGS,NC,NR,T2,ALPINE  ,SW
CA0290901,BEAR VALLEY WATER DISTRICT - RECYCLE,NP,,There are no treatment plants,ALPINE  ,
CA0300006,CAMP RITCHIE,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300007,STOCKTON SILVER LAKE FAMILY CAMP,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300010,DRYTOWN COUNTY WATER DISTRICT,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0300011,SUTTER PINES MHP,C,D1,T2,AMADOR  ,GU
CA0300016,VOLCANO COMMUNITY SERVICE DIST,C,D1,T2,AMADOR  ,GU
CA0300019,FIDDLETOWN COMMUNITY SERVICE,C,D1,TD,AMADOR  ,GW
CA0300022,CAMP WINTON,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300024,FOREST POINT MHC,C,D1,T1,AMADOR  ,GW
CA0300025,HAM'S STATION,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300028,AMADOR HARVEST INN,NC,NR,TD,AMADOR  ,GW
CA0300032,SILVER LAKE CAMPGROUND,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300033,BEAR RIVER CAMP--SOUTH SHORE,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300034,BEAR RIVER GROUP CAMPGROUND,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300036,BEAR RIVER LAKE RESORT,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,C,D1,T3,AMADOR  ,SW
CA0300043,OK CORRAL,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300048,GIBSON'S ROADHOUSE CAFE,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300049,PLASSE HOMESTEAD WATER ASSOCIATION,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300051,KIT CARSON LODGE,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300052,COOK'S STATION,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300053,RANCHO DEL ORO MHP,C,D1,TD,AMADOR  ,GW
CA0300055,SUNSET WEST MUTUAL WATER COMPANY,NTNC,D1,There are no treatment plants,AMADOR  ,GW
CA0300062,HOPE FOUNDATION/MORIAH HEIGHTS,C,D1,T1,AMADOR  ,GW
CA0300065,BEAR RIVER SUMMER HOME TRACT,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300070,E. SILVER LAKE HOMEOWNERS,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300073,AWA - TIGER CREEK POWERHOUSE,NTNC,D1,T2,AMADOR  ,SW
CA0300074,SO. SILVER LAKE HOMEOWNERS,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300076,KIRKWOOD CAMPGROUND,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300077,"CHARLES SPINETTA WINERY, LLC",NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300078,IONE BAND OF MIWOK INDIANS,C,D1,T1,AMADOR  ,GW
CA0300080,PLASSE'S RESORT,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300081,VILLA TOSCANO WINERY,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300083,BELLA PIAZZA WINERY,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300085,ROARING CAMP,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300086,GRACE FELLOWSHIP CHURCH,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300087,TURLEY WINE CELLARS,NC,NR,T1,AMADOR  ,GW
CA0300088,BLACK CHASM CAVERN,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300089,JEFF RUNQUIST WINERY,NC,NR,T1,AMADOR  ,GW
CA0300090,BORJON WINERY,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300091,SERA FINA CELLARS,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300095,AMADOR FLOWER FARM,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300096,ANDIS WINES,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300097,SIERRA SUNRISE DBA TERRA D'ORO/MONTEVINA,NC,NR,T1,AMADOR  ,GW
CA0300099,HELWIG WINERY,NC,NR,TD,AMADOR  ,GW
CA0300101,ROMBAUER SIERRA FOOTHILLS,NC,NR,T2,AMADOR  ,GW
CA0300102,SCHMITZ WINES,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300104,SLO 2 20 WINERY,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300107,BELLA GRACE VINEYARDS,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300108,RANCHO VICTORIA TASTING ROOM,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300110,IRON HUB WINERY,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300112,PAUL J. WINES,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300113,C. G. DI ARIE VINEYARD AND WINERY,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0300448,MALLO GOLD MINE PLAZA,NTNC,D1,There are no treatment plants,AMADOR  ,GW
CA0300524,"MP ASSOCIATES, INC.",NTNC,D1,T2,AMADOR  ,GW
CA0300667,GOLDEN VALLEY CAMP,NC,NR,There are no treatment plants,AMADOR  ,GW
CA0301038,PARDEE RECREATION AREA,NTNC,D1,T2,AMADOR  ,SW
CA0310001,CITY OF JACKSON,C,D2,There are no treatment plants,AMADOR  ,SWP
CA0310002,"AWA, IONE",C,D2,T3,AMADOR  ,SW
CA0310003,"AWA, TANNER",C,D3,T3,AMADOR  ,SW
CA0310004,"PLYMOUTH, CITY OF",C,D2,There are no treatment plants,AMADOR  ,SWP
CA0310005,PINE GROVE COMM SERV DIST,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0310006,RIVER PINES PUD,C,D1,T2,AMADOR  ,GW
CA0310008,CAMANCHE NORTH SHORE INC.,C,D2,T2,AMADOR  ,GW
CA0310011,FIRST MACE MEADOW # 1,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0310012,AWA BUCKHORN PLANT,C,D4,T3,AMADOR  ,SW
CA0310018,FIRST MACE MEADOWS UNIT NO. 2,C,D1,There are no treatment plants,AMADOR  ,SWP
CA0310019,AWA LA MEL HEIGHTS #3,C,D1,T1,AMADOR  ,GW
CA0310021,AWA - CAMANCHE VILLAGE,C,D3,TD,AMADOR  ,GW
