Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA1400047,MILLPOND RECREATION AREA,NC,NR,There are no treatment plants,INYO  ,GW
CA1400049,DIAZ LAKE CAMPGROUND,NC,NR,TD,INYO  ,GW
CA1400051,PLEASANT VALLEY CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400055,EASTERN SIERRA REGIONAL AIRPORT,NTNC,D1,There are no treatment plants,INYO  ,GW
CA1400056,BROOKSIDE ESTATES MUTUAL WATER COMPANY,C,D1,There are no treatment plants,INYO  ,GW
CA1400058,MOUNT WHITNEY GOLF CLUB,NC,NR,There are no treatment plants,INYO  ,GW
CA1400059,BROOKSIDE MOBILE HOME PARK,C,D1,There are no treatment plants,INYO  ,GW
CA1400064,BERNASCONI EDUCATION CENTER,NTNC,D1,There are no treatment plants,INYO  ,GW
CA1400066,ASPENDELL MUTUAL WATER COMPANY,C,D1,There are no treatment plants,INYO  ,GW
CA1400067,CARDINAL VILLAGE RESORT,NC,NR,There are no treatment plants,INYO  ,GW
CA1400068,DEEP SPRINGS COLLEGE,NTNC,D1,TD,INYO  ,GW
CA1400069,DEATH VALLEY JUNCTION,NC,TD,TD,INYO  ,GW
CA1400070,SIERRA GRANDE ESTATES MUTUAL WATER CO.,C,D1,There are no treatment plants,INYO  ,GW
CA1400072,NORTH LONE PINE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,INYO  ,GW
CA1400078,SCE BISHOP CREEK PLANT 4,C,D1,There are no treatment plants,INYO  ,GW
CA1400088,DELIGHT'S HOT SPRINGS RESORT,NC,NR,There are no treatment plants,INYO  ,GW
CA1400096,TECOPA HOT SPRINGS PARK,NC,NR,There are no treatment plants,INYO  ,GW
CA1400098,DARWIN COMMUNITY SERVICE DISTRICT,C,D1,T2,INYO  ,GU
CA1400099,MOUNTAIN VIEW TRAILER COURT,C,D1,There are no treatment plants,INYO  ,GW
CA1400102,LAWS TOWN LADWP,NTNC,D1,There are no treatment plants,INYO  ,GW
CA1400109,SIERRA NORTH COMMUNITY SERVICE DISTRICT,C,D1,There are no treatment plants,INYO  ,GW
CA1400110,PARK WEST MUTUAL WATER COMPANY,C,D1,There are no treatment plants,INYO  ,GW
CA1400111,MEADOWCREEK MUTUAL WATER COMPANY,C,D1,There are no treatment plants,INYO  ,GW
CA1400114,CAL TRANS - DIVISION CREEK,NC,NR,TD,INYO  ,GW
CA1400115,CAL TRANS - COSO JUNCTION,NC,NR,There are no treatment plants,INYO  ,GW
CA1400131,KATHERINA MULLER WATER SYSTEM,NC,NR,There are no treatment plants,INYO  ,GW
CA1400133,TECOPA PALMS THERAPEUTIC HOT SPRINGS RES,NC,NR,There are no treatment plants,INYO  ,GW
CA1400135,WILSON CIRCLE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,INYO  ,GW
CA1400136,EASTERN SIERRA TRI COUNTY FAIR,NC,NR,There are no treatment plants,INYO  ,GW
CA1400144,SUNLAND VILLAGE MOBILE HOME PARK,C,D1,There are no treatment plants,INYO  ,GW
CA1400147,PETITE PANTRY,NC,NR,There are no treatment plants,INYO  ,GW
CA1400155,CONTROL GORGE POWER PLANT,C,D1,T3,INYO  ,GU
CA1400161,WHITE MOUNTAIN RESEARCH CENTER,NC,NR,There are no treatment plants,INYO  ,GW
CA1400181,BISHOP CREEK SYSTEM,NC,NR,TD,INYO  ,GW
CA1400182,FOUR JEFFREY CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400183,GRAYS MEADOW CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400184,HORSESHOE MEADOW CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400185,LONE PINE CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400186,SAGE FLAT CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400191,ROCK CREEK LAKE BOAT DOCK & GROUP CAMP,NC,NR,There are no treatment plants,INYO  ,GW
CA1400192,ROCK CREEK LAKE CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400193,SABRINA CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400194,UPPER SAGE FLAT CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400195,WHITNEY PORTAL,NC,NR,TD,INYO  ,GW
CA1400500,QUALITY INN SYSTEM,NC,NR,There are no treatment plants,INYO  ,GW
CA1400503,BIRD INDUSTRIAL COMPLEX,NTNC,D1,There are no treatment plants,INYO  ,GW
CA1400504,BOULDER CREEK TRAILER PARK,NC,NR,There are no treatment plants,INYO  ,GW
CA1400505,GLACIER LODGE,NC,NR,There are no treatment plants,INYO  ,GW
CA1400506,HIGH SIERRA WATER COMPANY,NC,NR,There are no treatment plants,INYO  ,GW
CA1400511,MEADOW LAKE APARTMENTS,C,D1,There are no treatment plants,INYO  ,GW
CA1400516,TABOOSE CREEK CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400518,VAN LOON WATER ASSOCIATION,C,D1,There are no treatment plants,INYO  ,GW
CA1400522,PALISADE GLACIER HIGH SCHOOL,NTNC,D1,TD,INYO  ,GW
CA1400524,BIG TREES CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400525,LAWS TOWN INYO COUNTY,NTNC,D1,TD,INYO  ,GWP
CA1400526,EASTERN SIERRA COLLEGE CENTER - BISHOP,NTNC,D1,TD,INYO  ,GW
CA1400527,KEELER YARD LADWP,NTNC,D1,T4,INYO  ,SW
CA1400528,CRYSTAL GEYSER BOTTLING PLANT,NTNC,D1,T2,INYO  ,GW
CA1400529,BITTERBRUSH CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400531,TUTTLE CREEK CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400532,HORTON CREEK CAMPGROUND,NC,NR,There are no treatment plants,INYO  ,GW
CA1400534,TECOPA WATER VENDING MACHINE,NC,D1,T2,INYO  ,GW
CA1410001,"BISHOP, CITY OF",C,D1,TD,INYO  ,GW
CA1410002,LADWP - INDEPENDENCE,C,D1,There are no treatment plants,INYO  ,GW
CA1410003,LADWP - LONE PINE,C,D2,There are no treatment plants,INYO  ,GW
CA1410004,LADWP - BIG PINE,C,D1,There are no treatment plants,INYO  ,GW
CA1410005,INDIAN CREEK CSD,C,D1,There are no treatment plants,INYO  ,GW
CA1410006,BIG PINE CSD,C,D1,TD,INYO  ,GWP
CA1410007,HIGHLAND MOBILE HOME PARK,C,D1,There are no treatment plants,INYO  ,GW
CA1410008,INYO COUNTY PWD - INDEPENDENCE,C,D1,TD,INYO  ,GWP
CA1410009,INYO COUNTY PWD - LONE PINE,C,D2,TD,INYO  ,GWP
CA1410500,"NPS - DEATH VALLEY, MESQUITE SPRINGS",NC,NR,TD,INYO  ,GW
CA1410502,"NPS - DEATH VALLEY, STOVEPIPE WELLS",C,D1,T2,INYO  ,GW
CA1410503,"NPS - DEATH VALLEY, COW CREEK/NEVARES",C,D1,T2,INYO  ,GW
CA1410504,"NPS - DEATH VALLEY, GRAPEVINE RS",NC,D1,T2,INYO  ,GW
CA1410505,"NPS - DEATH VALLEY, FURNACE CREEK",C,D1,T2,INYO  ,GW
CA1410507,"NPS - DEATH VALLEY, WILDROSE CMPGD",NC,NR,TD,INYO  ,GW
CA1410509,"NPS - DEATH VALLEY, EMIGRANT RA/CG",NC,NR,TD,INYO  ,GW
CA1410510,LADWP - MANZANAR,C,D1,There are no treatment plants,INYO  ,GW
CA1410511,NPS - MANZANAR,NC,NR,TD,INYO  ,GWP
CA1410800,CDF - OWENS VALLEY CONSERVATION CAMP,C,D1,There are no treatment plants,INYO  ,GW
CA1490001,BISHOP AREA WASTEWATER AUTHORITY (BAWA),NP,,There are no treatment plants,INYO  ,
CA1500050,LEHIGH SOUTHWEST CEMENT COMPANY,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1500090,FAMOSO INN WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1500096,OLD RIVER MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1500152,MIRASOL COMPANY WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1500209,ALTA SIERRA MUTUAL WATER CO.,C,D1,TD,KERN  ,GW
CA1500211,STOCKDALE ANNEX MUTUAL WATER,C,D1,TD,KERN  ,GW
CA1500216,OPAL FRY AND SON,NTNC,D1,TD,KERN  ,GW
CA1500231,VICTORY MUTUAL WATER COMPANY,C,D1,T2,KERN  ,GW
CA1500251,RIVERKERN MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500252,KERN VALLEY MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1500289,ATHAL MUTUAL WATER SYSTEM,C,D1,TD,KERN  ,GW
CA1500290,NORTH MUROC MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,SWP
CA1500296,FULLER ACRES MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500314,DEL ORO WC - COUNTRY ESTATES DIST,C,D1,TD,KERN  ,GW
CA1500324,WONDER ACRES WATER SYSTEM,C,D1,TD,KERN  ,GWP
CA1500327,RANCHO SECO INC. WATER SYSTEM,C,D1,TD,KERN  ,GW
CA1500333,CWS - FREMONT VALLEY,C,D1,TD,KERN  ,GW
CA1500336,BURLANDO HEIGHTS MUTUAL WATER CO.,C,D1,There are no treatment plants,KERN  ,GW
CA1500340,WEST TEHACHAPI MUTUAL,C,D1,TD,KERN  ,GW
CA1500341,SIERRA BELLA MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500344,SOUTH KERN MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1500349,STOCKDALE MUTUAL WATER CO.,C,D1,TD,KERN  ,GW
CA1500364,KERNVALE MUTUAL WATER CO,C,D1,There are no treatment plants,KERN  ,GWP
CA1500371,UNION PACIFIC RAILROAD CO.-KEENE WATER,C,D1,TD,KERN  ,GWP
CA1500374,CWS-GRAND OAKS WATER SYSTEM,C,D1,TD,KERN  ,GW
CA1500378,MAHER MUTUAL WATER COMPANY,C,D1,T2,KERN  ,GW
CA1500393,RAINBIRD VALLEY MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500396,DESERT PARADISE RV PARK WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1500398,FRONTIER TRAILS HOMEOWNERS ASSOC INC.,C,D1,TD,KERN  ,GW
CA1500401,METTLER COUNTY WATER DISTRICT,C,D1,TD,KERN  ,GW
CA1500404,PINEBROOK COMMUNITY WATER WELL,C,D1,There are no treatment plants,KERN  ,GW
CA1500405,"AERIAL ACRES WATER COMPANY, INC.",C,D1,T2,KERN  ,GW
CA1500406,TRADEWIND WATER ASSOC.,C,D1,TD,KERN  ,GW
CA1500407,CWS-SPLIT MOUNTAIN WATER SYSTEM,C,D1,T2,KERN  ,GU
CA1500409,BROCK MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500413,TEJON RANCH MAIN HEADQUARTERS,C,D1,There are no treatment plants,KERN  ,GW
CA1500415,TEJON RANCH GRAPEVINE WATER,NTNC,D1,TD,KERN  ,GW
CA1500424,LANDS OF PROMISE MWC,C,D1,There are no treatment plants,KERN  ,GW
CA1500426,ROSE VILLA APARTMENTS,C,D1,TD,KERN  ,GW
CA1500436,HUNGRY GULCH MWC,C,D1,TD,KERN  ,GW
CA1500442,SUNSET APARTMENTS WS,C,D1,There are no treatment plants,KERN  ,GW
CA1500443,CANYON MEADOWS MUTUAL WATER,C,D1,T2,KERN  ,GW
CA1500447,SIERRA BREEZE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1500448,HILLVIEW ACRES MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500449,FOURTH STREET WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1500452,RIVERDALE VILLAGE,C,D1,TD,KERN  ,GW
CA1500455,WILLIAM FISHER MEMORIAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500458,R.S. MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500459,LAKE OF THE WOODS MOBILE VILLAGE,C,D1,There are no treatment plants,KERN  ,GW
CA1500461,FOUNTAIN TRAILER PARK WATER,C,D1,There are no treatment plants,KERN  ,GW
CA1500464,LAKE ISABELLA KOA CAMPGROUND,NC,NR,There are no treatment plants,KERN  ,GW
CA1500465,OAK KNOLLS MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500466,A.F.P. MUTUAL WATER COMPANY,C,D1,T1,KERN  ,GW
CA1500475,KRISTA MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500478,"VALLEY ESTATES POA, INC.",C,D1,There are no treatment plants,KERN  ,GW
CA1500481,RIVERNOOK CAMPGROUND,C,D1,There are no treatment plants,KERN  ,GW
CA1500483,ALLEN ROAD MUTUAL WATER SYSTEM,C,D1,TD,KERN  ,GW
CA1500485,ANTELOPE VALLEY MOBILE ESTATES,C,D1,There are no treatment plants,KERN  ,GW
CA1500489,BRITE LAKE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1500491,INTERSTATE 5 UILITY COMPANY,NTNC,D1,TD,KERN  ,GW
CA1500493,"EL ADOBE POA, INC.",C,D1,TD,KERN  ,GW
CA1500494,WILSON ROAD WATER COMMUNITY,C,D1,TD,KERN  ,GW
CA1500495,AERA ENERGY-LLC,NTNC,D1,TD,KERN  ,GW
CA1500507,ST. CLAIR RANCHOS MUTUAL WATER CO.,C,D1,TD,KERN  ,GW
CA1500516,TUT BROTHERS FARM #96,C,D1,TD,KERN  ,GW
CA1500517,STOCO MUTUAL WATER COMPANY,NTNC,D1,TD,KERN  ,GW
CA1500518,AGBAYANI VILLAGE WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1500535,MANON MANOR MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500540,PINON VALLEY WATER COMPANY,C,D1,T1,KERN  ,GW
CA1500542,WILLOW SPRINGS MOBILE HOME PARK,C,D1,TD,KERN  ,GW
CA1500543,AGAPE MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1500544,ENOS LANE PUBLIC UTILITY DISTRICT,C,D1,T2,KERN  ,GW
CA1500546,HARVEST MOON MUTUAL WATER CO,C,D1,TD,KERN  ,GW
CA1500550,WEST VALLEY MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500553,RANCHOS DEL RIO,C,D1,There are no treatment plants,KERN  ,GW
CA1500554,EAST INYOKERN MUTUAL WATER,C,D1,There are no treatment plants,KERN  ,GW
CA1500555,MUSTANG MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1500556,HART FLAT BEAR MUTUAL WATER,C,D1,There are no treatment plants,KERN  ,GW
CA1500557,STOCKDALE RANCHOS MUTUAL WATER CO,C,D1,TD,KERN  ,GW
CA1500560,KRANENBURG WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1500561,ROUND MOUNTAIN WATER COMPANY,C,D1,T1,KERN  ,GW
CA1500563,CHINA LAKE ACRES MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1500564,HOMETOWN WATER ASSOCIATION,C,D1,There are no treatment plants,KERN  ,GW
CA1500566,SPRING MOUNTAIN MUTUAL WATER COMPANY,C,NR,There are no treatment plants,KERN  ,GW
CA1500569,VALLEY VIEW ESTATES MUTUAL WATER CO,C,D1,TD,KERN  ,GW
CA1500571,KERN MOBILE ESTATES LLC,C,D1,TD,KERN  ,GW
CA1500574,INDIAN HILLS RANCH CAMPGROUND,NC,NR,There are no treatment plants,KERN  ,GW
CA1500575,SAN JOAQUIN ESTATES MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500578,LONG CANYON WATER COMPANY CORP.,C,D1,TD,KERN  ,GW
CA1500579,LIFE WATER CO-OP,C,D1,TD,KERN  ,GW
CA1500584,GOOSELAKE WATER COMPANY,C,D1,TD,KERN  ,GW
CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,C,D1,TD,KERN  ,GW
CA1500588,SON SHINE PROPERTIES,C,D1,TD,KERN  ,GW
CA1500591,SWEET WATER CO-OP,C,D1,There are no treatment plants,KERN  ,GW
CA1500593,UPLANDS OF THE KERN MUTUAL WATER COMPANY,C,D1,Operator is not required,KERN  ,GW
CA1500597,GRIMMWAY FARMS- FROZEN FOODS,NTNC,D1,T3,KERN  ,GW
CA1500599,CHOCTAW VALLEY MUTUAL WATER CO.,C,D1,T1,KERN  ,GW
CA1500600,J.G. BOSWELL COMPANY WATER SYSTEM,NTNC,D1,T1,KERN  ,GW
CA1502012,HECK CELLARS WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1502029,CAL TRANS BUTTONWILLOW SFTY RSRA,NC,NR,There are no treatment plants,KERN  ,GW
CA1502034,CALIFORNIA PORTLAND CEMENT,NTNC,D1,TD,KERN  ,GW
CA1502042,CAMP LAKOTA WATER SYSTEM,NC,NR,TD,KERN  ,GW
CA1502044,CAMP TECUYA WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1502056,CLARK STREET COMMUNITY WELL,C,D1,There are no treatment plants,KERN  ,GW
CA1502066,DELANO GROWERS GRAPE PRODUCTS,NTNC,D1,TD,KERN  ,GW
CA1502068,DI GIORGIO SCHOOL WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1502073,CAMP EL CAMINO PINES,NC,NR,There are no treatment plants,KERN  ,GW
CA1502074,EL TEJON MIDDLE SCHOOL,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1502093,HARVEST STEAKHOUSE,NC,NR,There are no treatment plants,KERN  ,GW
CA1502133,V LIONS OPS WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1502134,JAMESON RANCH CAMP,NC,NR,There are no treatment plants,KERN  ,GW
CA1502154,LAKESIDE SCHOOL,NTNC,D1,TD,KERN  ,GW
CA1502164,LLANAS CAMP FOUR WATER SYSTEM,C,D1,TD,KERN  ,GW
CA1502194,SIERRA VISTA RESTAURANT,NC,NR,There are no treatment plants,KERN  ,GW
CA1502213,PARADISE COVE LODGE,NC,NR,There are no treatment plants,KERN  ,GW
CA1502217,BETHEL IN THE HILLS - PCG CAMP,NC,NR,There are no treatment plants,KERN  ,GW
CA1502221,POND SCHOOL WATER SYSTEM,NTNC,D1,T2,KERN  ,GW
CA1502223,WILLOW SPRINGS RACEWAY,NC,NR,There are no treatment plants,KERN  ,GW
CA1502225,RANKIN RANCH,NC,NR,TD,KERN  ,GW
CA1502229,RIO BRAVO GREELEY SCHOOL WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1502231,ROSAMOND SCHOOL WATER SYSTEM,NTNC,D1,There are no treatment plants,KERN  ,SWP
CA1502232,ROSAMOND MOBILEHOME PARK,C,D1,TD,KERN  ,GW
CA1502247,DESERT BREEZE MOBILE HOME ESTATES,C,D1,TD,KERN  ,GW
CA1502249,CAMP ST NICHOLAS WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1502260,SOUTH FORK ELEMENTARY SCHOOL WATER SYS,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1502277,TEHACHAPI CUMMINGS COUNTY WATER DISTRICT,NC,NR,There are no treatment plants,KERN  ,GW
CA1502315,CAMP OWEN WATER SYSTEM,C,D1,T1,KERN  ,GW
CA1502317,KERN CO P&R-GREENHORN MT. PARK WATER,NC,NR,TD,KERN  ,GW
CA1502319,KERN CO P&R-LAKE WOOLLOMES WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1502320,LERDO SHERIFF S FACILITY,C,D2,T2,KERN  ,GW
CA1502323,NORTH KERN GOLF COURSE,NC,NR,TD,KERN  ,GW
CA1502325,KERN CO P&R-TEHACHAPI MT PARK WATER,NC,NR,There are no treatment plants,KERN  ,GW
CA1502327,KERN VALLEY AIRPORT,NC,NR,TD,KERN  ,GW
CA1502383,NORD ROAD WATER ASSOCIATION,C,D1,T1,KERN  ,GW
CA1502418,INDIAN WELLS LODGE,NC,NR,There are no treatment plants,KERN  ,GW
CA1502422,CALTRANS-BORON REST STOP WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1502449,CYPRESS CANYON WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1502465,PANAMA ROAD PROPERTY OWNERS ASSOC,C,D1,There are no treatment plants,KERN  ,GW
CA1502524,CAMP AREV,NC,NR,There are no treatment plants,KERN  ,GW
CA1502545,SCHWEIKART WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1502561,CHEVRON SAN JOAQUIN,NTNC,D1,T2,KERN  ,SWP
CA1502564,SIERRA MEADOWS,C,D1,There are no treatment plants,KERN  ,GW
CA1502569,FIRST MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1502572,USFS - HAVILAH WORK CENTER,NC,NR,TD,KERN  ,GW
CA1502575,USFS - FULTON WORK CENTER,NC,NR,There are no treatment plants,KERN  ,GW
CA1502580,GRANITE CONSTRUCTION WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1502581,SUNVIEW COLD STORAGE WATER SYSTEM,NTNC,D1,T2,KERN  ,GW
CA1502595,NATIONAL CEMENT CO.-LEBEC PLANT,NTNC,D1,T1,KERN  ,GW
CA1502600,WEGIS MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1502607,PIUTE MOUNTAIN SCHOOL WATER,NTNC,D1,T2,KERN  ,GW
CA1502608,OWENS PEAK WEST,C,D1,There are no treatment plants,KERN  ,GW
CA1502615,"FRITO-LAY, INC. WATER SYSTEM",NTNC,D1,TD,KERN  ,GW
CA1502619,SOUTH DESERT MUTUAL WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1502620,POND MUTUAL WATER COMPANY,C,D1,T1,KERN  ,GW
CA1502622,GOSFORD ROAD WATER COMPANY,C,D1,There are no treatment plants,KERN  ,GW
CA1502629,HEATH BRIMHALL P.O.A.,C,D1,There are no treatment plants,KERN  ,GW
CA1502645,MEADOWS OF THE KERN MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1502653,BELLA VISTA MUTUAL WATER COMPANY,C,D1,TD,KERN  ,GW
CA1502659,OWENS PEAK SOUTH,C,D1,There are no treatment plants,KERN  ,GW
CA1502663,TOWN & COUNTRY WATER COMPANY,C,D1,T1,KERN  ,GW
CA1502667,THE PATCH FRUIT STAND,NC,NR,There are no treatment plants,KERN  ,GW
CA1502670,"FAIRVIEW WATER COMPANY, LLC",C,D1,TD,KERN  ,GW
CA1502673,GATEWAY MARKET WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1502680,ORANGE GROVE RV PARK,NC,NR,T2,KERN  ,GW
CA1502682,USFS - PARADISE COVE CAMPGROUND,NC,NR,There are no treatment plants,KERN  ,GW
CA1502683,USFS - SOUTH FORK RECREATION AREA,NC,NR,TD,KERN  ,GW
CA1502686,USFS - FRENCH GULCH CAMPGROUND WS,NC,NR,TD,KERN  ,GW
CA1502687,USFS - HUNGRY & BOULDER GULCH CAMPGROUND,NC,NR,There are no treatment plants,KERN  ,GW
CA1502688,USFS- TILLIE CREEK LIVE OAKS CAMPGROUNDS,NC,NR,There are no treatment plants,KERN  ,GW
CA1502689,USFS - CAMP 9,NC,NR,TD,KERN  ,GW
CA1502690,"DUNE 3 MUTUAL WATER COMPANY, LLC",C,D1,There are no treatment plants,KERN  ,GW
CA1502691,WILDLAND TRAINING CENTER,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1502695,BUTTERMILK ACRES WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1502697,AIRSTREAMS RENEWABLES,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1502699,EAST WILSON ROAD WATER COMPANY,C,D1,Operator is not required,KERN  ,GW
CA1502717,MOUNTAIN VALLEY AIRPORT,NC,NR,There are no treatment plants,KERN  ,GW
CA1502744,60TH STREET ASSOC. WATER SYSTEM,C,D1,There are no treatment plants,KERN  ,GW
CA1502750,RIVERVIEW HOMEOWNERS ASSOCIATION,C,D1,There are no treatment plants,KERN  ,GW
CA1502753,TEHACHAPI CHURCH OF THE NAZARENE,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1502757,SKI WEST VILLAGE WATER SYSTEM,NC,NR,TD,KERN  ,GW
CA1502759,WP&A - LOST HILLS WATER SYSTEM,NTNC,D2,T2,KERN  ,SW
CA1502763,"CLEAN HARBORS BUTTONWILLOW, LLC.",NTNC,D1,TD,KERN  ,GWP
CA1502771,KERN ENERGY,NTNC,D1,T2,KERN  ,GW
CA1502799,BEAR MOUNTAIN TRUCK STOP,NC,NR,There are no treatment plants,KERN  ,GW
CA1502820,FLYING J TRAVEL PLAZA,NTNC,D2,TD,KERN  ,GW
CA1502826,FAMOSO FUEL STOP,NC,NR,There are no treatment plants,KERN  ,GW
CA1503093,GRIMMWAY ENTERPRISES-MALAGA WATER SYSTEM,NTNC,D2,T3,KERN  ,GW
CA1503104,BURTCH CONSTRUCTION,NTNC,D1,TD,KERN  ,GW
CA1503105,USFS -  SANDY FLAT CAMPGROUND WS,NC,NR,TD,KERN  ,GW
CA1503140,FRAZIER MOUNTAIN HIGH SCHOOL,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1503182,SUN PACIFIC SHIPPERS-LERDO,NTNC,D1,TD,KERN  ,GW
CA1503194,PARADISE WATER SYSTEM,NTNC,D1,Operator is not required,KERN  ,GW
CA1503206,USFS - PIONEER POINT CAMPGROUND,NC,NR,There are no treatment plants,KERN  ,GW
CA1503209,SUPERIOR MUTUAL WATER COMPANY,NTNC,D1,TD,KERN  ,GW
CA1503215,"FAMOSO RACEWAY, SMOKERS INC.",NC,NR,There are no treatment plants,KERN  ,GW
CA1503219,HASSON O S,NC,NR,There are no treatment plants,KERN  ,GW
CA1503226,QVWD-WEST & EAST COMBINED WATER SYSTEM,C,D1,T2,KERN  ,GW
CA1503230,LDS CHURCH - FRAZIER PARK,NC,NR,There are no treatment plants,KERN  ,GWP
CA1503231,FOUR WINDS WATER SYSTEM,NC,NR,There are no treatment plants,KERN  ,GW
CA1503232,SOUTH KERN INDUSTRIAL CENTER,NTNC,D1,There are no treatment plants,KERN  ,GW
CA1503243,HONDA PROVING CENTER,NTNC,D1,T1,KERN  ,GW
CA1503249,"BUTTONWILLOW ROAD CIRCUIT, LP",NC,NR,There are no treatment plants,KERN  ,GW
CA1503270,LAKE ISABELLA COMMUNITY SERVICES DIST,C,D1,There are no treatment plants,KERN  ,GWP
CA1503275,WP&A - KING WATER SYSTEM,NTNC,D1,T2,KERN  ,SW
CA1503290,THE GARLIC COMPANY,NTNC,D1,T2,KERN  ,GW
CA1503305,EL TACO LOCO,NC,NR,TD,KERN  ,GW
CA1503310,RANCHO RIO EQUESTRIAN CENTER,NC,NR,TD,KERN  ,GW
CA1503319,USFS - OLD ISABELLA AUXILIARY DAM WS,NC,NR,There are no treatment plants,KERN  ,GW
CA1503329,HART CREEK ESTATES MUTUAL WATER CO.,C,D1,T1,KERN  ,GW
CA1503330,GCG WATER SYSTEM,NTNC,D1,TD,KERN  ,GW
CA1503336,GOLDEN EMPIRE CONCRETE COMPANY,NTNC,D1,TD,KERN  ,GW
